Row_IDX,Marker,TestMode,ReportDiseaseName,Therapy,ValueComparator,ValueMin,ValueMax,ResultFormat,LOE_Tier,LOE_Category,Reference_ID,ReferenceType,ReferenceText,NoOffLabel_Flag,DownloadDate,Version,VersionDate
2,PD-L1,IHC_22C3,Cervical Cancer,pembrolizumab,RANGE,1,100,CPS = X,1,Clinical Study (Companion Diagnostic),FDA-pembrolizumab,TBD,Merck. Keytruda (pembrolizumab) [package insert]. (2018).,0,6/21/2018,101,1/14/2020
3,PD-L1,IHC_22C3,Esophageal Squamous Cell Carcinoma,pembrolizumab,RANGE,10,100,X% TPS,1,Clinical Study (Companion Diagnostic),FDA-pembrolizumab,TBD,Merck. Keytruda (pembrolizumab) [package insert]. (2019).,0,8/1/2019,101,1/14/2020
4,PD-L1,IHC_22C3,Gastric Adenocarcinoma,pembrolizumab,RANGE,1,100,CPS = X,1,Clinical Study (Companion Diagnostic),FDA-pembrolizumab,TBD,Merck. Keytruda (pembrolizumab) [package insert]. (2017).,0,5/29/2018,101,1/14/2020
5,PD-L1,IHC_22C3,Gastroesophageal Junction Adenocarcinoma,pembrolizumab,RANGE,1,100,CPS = X,1,Clinical Study (Companion Diagnostic),FDA-pembrolizumab,TBD,Merck. Keytruda (pembrolizumab) [package insert]. (2017).,0,5/29/2018,101,1/14/2020
6,PD-L1,IHC_22C3,Melanoma,pembrolizumab,RANGE,1,100,X% TPS,2,Clinical Validity (Trial Correlative Science),PMID: 27863197,TBD,"Daud, A. et al. Programmed Death-Ligand 1 Expression and Response to the Anti-Programmed Death 1 Antibody Pembrolizumab in Melanoma. J. Clin. Oncol. 34, 4102-4109 (2016).",0,6/13/2019,101,1/14/2020
10,PD-L1,IHC_22C3,Non-Small Cell Lung Cancer,pembrolizumab,RANGE,1,100,X% TPS,1,Clinical Study (Companion Diagnostic),PMID: 30955977,TBD,"Reck, M. et al. Pembrolizumab versus Chemotherapy for PD-L1–Positive Non–Small-Cell Lung Cancer. N. Engl. J. Med. 375, 1823–1833 (2016).",0,4/24/2019,101,1/14/2020
11,PD-L1,IHC_22C3,Non-Small Cell Lung Cancer,pembrolizumab,RANGE,1,100,X% TPS,1,Clinical Study (Companion Diagnostic),PMID: 26712084,TBD,"Herbst, R. S. et al. Pembrolizumab versus docetaxel for previously treated, PD-L1-positive, advanced non-small-cell lung cancer (KEYNOTE-010): a randomised controlled trial. Lancet 387, 1540–1550 (2016).",0,5/29/2018,101,1/14/2020
12,PD-L1,IHC_22C3,Squamous Cell Carcinoma of Head and Neck,pembrolizumab,RANGE,1,19.99999999,X% TPS,1,Clinical Study (Companion Diagnostic),FDA-pembrolizumab,TBD,"Burtness B. et al. KEYNOTE-048: Phase 3 study of first-line pembrolizumab for recurrent/metastatic head and neck squamous cell carcinoma. In: ESMO Conference, LBA8-PR. Munich: (2018)",0,6/13/2019,101,1/14/2020
13,PD-L1,IHC_22C3,Squamous Cell Carcinoma of Head and Neck,pembrolizumab,RANGE,20,100,X% TPS,1,Clinical Study (Companion Diagnostic),FDA-pembrolizumab,TBD,"Burtness B. et al. KEYNOTE-048: Phase 3 study of first-line pembrolizumab for recurrent/metastatic head and neck squamous cell carcinoma. In: ESMO Conference, LBA8-PR. Munich: (2018)",0,6/13/2019,101,1/14/2020
14,PD-L1,IHC_22C3,Urothelial Carcinoma,pembrolizumab,RANGE,10,100,CPS = X,1,Clinical Study (Companion Diagnostic),PMID: 28967485,TBD,"Balar, A. V., et al. First-line pembrolizumab in cisplatin-ineligible patients with locally advanced and unresectable or metastatic urothelial cancer (KEYNOTE-052): a multicentre, single-arm, phase 2 study. Lancet Oncol. 2017;18(11):1483-1492.",0,12/13/2018,101,1/14/2020
20,PD-L1,IHC_SP142,Breast Cancer,atezolizumab + nab-paclitaxel,RANGE,1,100,X% IC,1,Clinical Study (Companion Diagnostic),FDA-atezolizumab,TBD,Genentech. Tecentriq (atezolizumab) [package insert]. (2019).,0,3/18/2019,101,1/14/2020
21,PD-L1,IHC_SP142,Urothelial Carcinoma,atezolizumab,RANGE,5,100,X% IC,1,Clinical Study (Companion Diagnostic),FDA-atezolizumab,TBD,Genentech. Tecentriq (atezolizumab) [package insert]. (2018).,0,6/26/2018,101,1/14/2020
27,TMB,DNA-Seq,Melanoma,ipilimumab,=,Very High,,,2,Clinical Validity (Observational Study),PMID: 26359337,TBD,"Van Allen, E. M. et al. Genomic correlates of response to CTLA-4 blockade in metastatic melanoma. Science (80-. ). 350, 207–211 (2015).",0,5/29/2018,101,1/14/2020
28,TMB,DNA-Seq,Melanoma,ipilimumab,=,High,,,2,Clinical Validity (Observational Study),PMID: 26359337,TBD,"Van Allen, E. M. et al. Genomic correlates of response to CTLA-4 blockade in metastatic melanoma. Science (80-. ). 350, 207–211 (2015).",0,5/29/2018,101,1/14/2020
29,TMB,DNA-Seq,Melanoma,ipilimumab + tremelimumab,=,Very High,,,2,Clinical Validity (Observational Study),PMID: 25409260,TBD,"Snyder, A. et al. Genetic Basis for Clinical Response to CTLA-4 Blockade in Melanoma. N. Engl. J. Med. 371, 2189–2199 (2014).",0,5/29/2018,101,1/14/2020
30,TMB,DNA-Seq,Melanoma,ipilimumab + tremelimumab,=,High,,,2,Clinical Validity (Observational Study),PMID: 25409260,TBD,"Snyder, A. et al. Genetic Basis for Clinical Response to CTLA-4 Blockade in Melanoma. N. Engl. J. Med. 371, 2189–2199 (2014).",0,5/29/2018,101,1/14/2020
31,TMB,DNA-Seq,Non-Small Cell Lung Cancer,pembrolizumab,=,Very High,,,2,Clinical Validity (Observational Study),PMID: 25765070,TBD,"Rizvi, N. A. et al. Mutational landscape determines sensitivity to PD-1 blockade in non-small cell lung cancer. Science (80-. ). 348, 124–128 (2015).",0,5/29/2018,101,1/14/2020
32,TMB,DNA-Seq,Non-Small Cell Lung Cancer,pembrolizumab,=,High,,,2,Clinical Validity (Observational Study),PMID: 25765070,TBD,"Rizvi, N. A. et al. Mutational landscape determines sensitivity to PD-1 blockade in non-small cell lung cancer. Science (80-. ). 348, 124–128 (2015).",0,5/29/2018,101,1/14/2020
33,TMB,DNA-Seq,Urothelial Carcinoma,atezolizumab,=,Very High,,,2,Clinical Validity (Trial Correlative Science),PMID: 26952546,TBD,"Rosenberg, J. E. et al. Atezolizumab in patients with locally advanced and metastatic urothelial carcinoma who have progressed following treatment with platinum-based chemotherapy: A single-arm, multicentre, phase 2 trial. Lancet 387, 1909–1920 (2016).",0,6/27/2018,101,1/14/2020
34,TMB,DNA-Seq,Urothelial Carcinoma,atezolizumab,=,High,,,2,Clinical Validity (Trial Correlative Science),PMID: 26952546,TBD,"Rosenberg, J. E. et al. Atezolizumab in patients with locally advanced and metastatic urothelial carcinoma who have progressed following treatment with platinum-based chemotherapy: A single-arm, multicentre, phase 2 trial. Lancet 387, 1909–1920 (2016).",0,6/27/2018,101,1/14/2020
35,TMB,DNA-seq,Non-Small Cell Lung Cancer,ipilimumab + nivolumab,=,High,,,2,Clinical Validity,PMID: 29658845,TBD,"Hellmann, M. D. et al. Nivolumab plus Ipilimumab in Lung Cancer with a High Tumor Mutational Burden. N Engl J Med. 2018;378(22):2093-2104.",0,12/13/2018,101,1/14/2020
36,TMB,DNA-seq,Non-Small Cell Lung Cancer,ipilimumab + nivolumab,=,Very High,,,2,Clinical Validity,PMID: 29658845,TBD,"Hellmann, M. D. et al. Nivolumab plus Ipilimumab in Lung Cancer with a High Tumor Mutational Burden. N Engl J Med. 2018;378(22):2093-2104.",0,12/13/2018,101,1/14/2020
37,MSI,NGS,,pembrolizumab,=,Unstable (MSI-H),,,1,Clinical Study (Companion Diagnostic),FDA-pembrolizumab,TBD,Merck. Keytruda (pembrolizumab) [package insert]. (2017).,0,6/6/2018,101,1/14/2020
38,MSI,NGS,Colorectal Cancer,nivolumab,=,Unstable (MSI-H),,,1,Clinical Study (Companion Diagnostic),PMID: 28734759,TBD,"Overman, M. J. et al. Nivolumab in patients with metastatic DNA mismatch repair-deficient or microsatellite instability-high colorectal cancer (CheckMate 142): an open-label, multicentre, phase 2 study. Lancet Oncol. 18, 1182–1191 (2017).",0,6/6/2018,101,1/14/2020
39,MSI,NGS,Colorectal Cancer,pembrolizumab,=,Unstable (MSI-H),,,1,Clinical Study (Companion Diagnostic),FDA-pembrolizumab,TBD,Merck. Keytruda (pembrolizumab) [package insert]. (2017).,0,7/24/2018,101,1/14/2020
40,MSI,PCR,,pembrolizumab,=,High,,,1,Clinical Study (Companion Diagnostic),FDA-pembrolizumab,TBD,Merck. Keytruda (pembrolizumab) [package insert]. (2017).,0,6/4/2018,101,1/14/2020
41,MSI,PCR,Colorectal Cancer,nivolumab,=,High,,,1,Clinical Study (Companion Diagnostic),PMID: 28734759,TBD,"Overman, M. J. et al. Nivolumab in patients with metastatic DNA mismatch repair-deficient or microsatellite instability-high colorectal cancer (CheckMate 142): an open-label, multicentre, phase 2 study. Lancet Oncol. 18, 1182–1191 (2017).",0,6/4/2018,101,1/14/2020
42,MSI,PCR,Colorectal Cancer,pembrolizumab,=,High,,,1,Clinical Study (Companion Diagnostic),FDA-pembrolizumab,TBD,Merck. Keytruda (pembrolizumab) [package insert]. (2017).,0,7/24/2018,101,1/14/2020
